Gene,log2FC,p-value
EIF3I,-0.544632555,2.91E-07
MTSS2,-1.498217775,2.93E-07
WIZ,1.091954599,2.94E-07
TRMT112,-1.867229566,2.94E-07
LOC102725228,2.569734717,2.94E-07
LOC101930048,2.44020036,2.95E-07
LOC105378268,2.789751323,2.96E-07
LMX1A-AS2,-6.168903416,2.98E-07
FLJ39095,1.610927698,2.99E-07
SEPTIN5,1.720286501,3.00E-07
ARID3B,1.041561992,3.01E-07
TNNI3,-2.883092354,3.01E-07
SLC44A3,1.794338901,3.01E-07
TMEM72-AS1,3.921503826,3.02E-07
BTBD10,1.090937644,3.02E-07
PDZRN4,4.404110373,3.02E-07
MAPK3,0.982444669,3.02E-07
TMIGD2,-5.24119525,3.04E-07
DHFR2,1.03705964,3.05E-07
CLDN18,-4.848714389,3.06E-07
JAKMIP3,1.719794528,3.09E-07
PDE6B,-2.193520512,3.11E-07
NGRN,0.792484565,3.12E-07
ANGEL1,-0.707292378,3.14E-07
RAP1A,0.692107747,3.17E-07
NPY2R-AS1,-5.888866883,3.17E-07
RLIM,0.628185834,3.18E-07
RNF20,0.825677703,3.18E-07
SHBG,-1.354657141,3.18E-07
RPS3,-1.113328457,3.19E-07
ZNF793,1.210471756,3.20E-07
NPAS3,2.003677055,3.20E-07
LOC107984567,-2.358306872,3.21E-07
CUL9,1.250382609,3.22E-07
BRAF,0.865320382,3.22E-07
SLC50A1,-1.097099697,3.24E-07
CALN1,-1.873759047,3.24E-07
HTRA2,0.714801608,3.25E-07
GBP1,3.58309192,3.26E-07
LOC102724859,2.295313475,3.28E-07
CCDC6,-0.739004774,3.31E-07
ZNF428,1.642972699,3.33E-07
TRNP,1.242380984,3.33E-07
PARPBP,-1.389953828,3.35E-07
SLITRK4,-1.67406579,3.36E-07
LCK,-4.915847162,3.39E-07
CSDE1,0.501125925,3.39E-07
LOC101927914,4.587682907,3.41E-07
TANC2,1.282167539,3.44E-07
RMST,2.152657858,3.46E-07
SCYL2,0.720268691,3.46E-07
BMI1,1.200747557,3.48E-07
MAPK1,0.676169664,3.51E-07
ATP6V0D1,0.91588789,3.52E-07
JMJD1C-AS1,2.394999118,3.53E-07
SNORD28,-2.264247216,3.53E-07
CLDN5,-2.737355336,3.56E-07
BSG,-0.841268288,3.58E-07
SLC48A1,-0.82365349,3.58E-07
LOC105374339,4.136894854,3.59E-07
SERPINB9P1,-5.258579576,3.62E-07
ARHGAP10,-2.304669991,3.65E-07
PLCH1,-1.24817861,3.67E-07
HTATIP2,-0.89265658,3.67E-07
MAP1LC3B,0.895034896,3.67E-07
KIF2A,0.783324714,3.68E-07
CA12,-3.154717048,3.69E-07
FOXJ1,-3.585195233,3.69E-07
DPAGT1,-0.538523341,3.71E-07
IGF2BP1,-0.80909017,3.72E-07
DHX36,0.735303927,3.72E-07
KDM2B-DT,-4.065837594,3.75E-07
CD72,-3.074236815,3.76E-07
LRRC8B,0.778909246,3.76E-07
ZNF689,0.653360497,3.78E-07
LOC105371932,1.980255286,3.78E-07
RALGAPA1P1,1.298784996,3.82E-07
PLEKHO1,1.112133194,3.83E-07
LOC105374421,-3.507447947,3.88E-07
ANKRD13D,0.897311828,3.89E-07
NLRP1,-3.933620919,3.90E-07
NACA,-1.05262751,3.90E-07
XXYLT1,-0.497204809,3.90E-07
BBS5,-0.58650778,3.91E-07
IL17REL,-3.444078315,3.92E-07
ARL8B,0.666426418,3.93E-07
TSPAN4,-1.747751877,3.93E-07
BCL2L15,2.941688094,3.95E-07
ARHGAP11B_2,-3.383905652,3.95E-07
ZNF763,1.560161501,3.97E-07
TRIM62,1.194971314,3.97E-07
C1QTNF7-AS1,3.326049361,4.00E-07
PRDX2,0.827293334,4.01E-07
LOC105372639,4.699352643,4.03E-07
BMS1,-0.870569024,4.03E-07
FIBCD1,-2.577909987,4.03E-07
MCOLN2,-4.784895229,4.03E-07
LOC100499489,1.010024722,4.04E-07
CHRNA1,4.057206432,4.05E-07
ZNF578,-3.480512831,4.10E-07
ENDOV,0.767952949,4.10E-07
LINC00526,0.949360605,4.11E-07
CXCL3,-4.329672715,4.14E-07
FLT1,2.472250593,4.14E-07
LOC105377329,-3.237875799,4.15E-07
LOC102724149,-4.073473499,4.18E-07
BRCA2,-1.842081228,4.22E-07
ZNF248,1.249187009,4.22E-07
PSMD10,-0.781792529,4.22E-07
GANAB,-0.851247634,4.23E-07
MYADML2,2.600589847,4.24E-07
ITIH5,-2.903861444,4.27E-07
SCOC-AS1,2.59729613,4.28E-07
EDEM1,-0.896212805,4.29E-07
POLE,-1.230756274,4.30E-07
CLCA4-AS1,2.061843294,4.35E-07
FAM114A2,1.02578911,4.37E-07
DSG2,-1.616921812,4.39E-07
HYPK,1.322419498,4.40E-07
LOC107984837,-1.93924543,4.46E-07
GINS2,-1.564842859,4.48E-07
INAFM1,1.731241786,4.50E-07
RNF138,-0.779152099,4.51E-07
LOC105371206,4.978774407,4.51E-07
LOC101929555,-3.499895764,4.52E-07
MTAP,-0.845183661,4.53E-07
GYPC,-1.588938522,4.55E-07
CAMKK1,0.924608055,4.58E-07
TUBG2,1.046175355,4.58E-07
DUBR,1.327944006,4.58E-07
TBC1D30,1.050005098,4.59E-07
CRIM1,1.452771808,4.66E-07
ZNF235,1.765686887,4.67E-07
PABPC3,-2.187157679,4.67E-07
SRRT,-0.990367595,4.70E-07
LOC105378711,5.064548217,4.70E-07
SNORD29,-2.334105938,4.71E-07
ATP2C1,0.943641468,4.72E-07
JUN,1.381113718,4.72E-07
ACER3,-0.573842203,4.77E-07
VPS33B,0.573728857,4.82E-07
NRIP3,-1.465528345,4.82E-07
UBE2E4P,0.93915548,4.83E-07
PGAP3,-0.807433773,4.86E-07
EMC3,0.846745022,4.88E-07
CD248,-2.300327843,4.90E-07
VSX1,3.78172839,4.91E-07
PNMA6A,1.715344085,4.92E-07
FAM163B,-3.36589265,4.93E-07
MIDEAS,-1.38417137,4.93E-07
USP47,0.733235557,4.97E-07
LOC105378231,3.429471952,4.97E-07
CRYZ,-1.505466896,4.97E-07
EXOC3L1,1.466149324,4.97E-07
HHATL,3.956559793,5.02E-07
EMX1,-4.103950478,5.07E-07
EVX1,-4.867092063,5.08E-07
DCHS1,1.356850869,5.08E-07
NMT2,-0.54927549,5.09E-07
SEPTIN7P14,0.625618336,5.09E-07
PACRG,2.515057979,5.10E-07
IFT74,-1.145326415,5.11E-07
GORAB,-0.681587105,5.18E-07
RAB22A,0.612217835,5.20E-07
ETF1,-0.859464384,5.20E-07
WASF1,0.772646889,5.21E-07
AK4,-2.104848022,5.22E-07
BANCR,-5.044068714,5.22E-07
LOC105373041,-3.51676754,5.22E-07
LOC112268445,-5.699075802,5.24E-07
CAMTA1,0.697867857,5.25E-07
CASC21,3.003716379,5.25E-07
NOX3,-4.997207376,5.26E-07
KLK8,-5.081157922,5.27E-07
FHDC1,1.5687334,5.28E-07
VDAC1,-0.53938788,5.33E-07
ZC3H10,0.763644164,5.36E-07
TRIM71,-1.070971824,5.37E-07
SPAG6,-2.662432902,5.40E-07
DLEU2,-1.862769047,5.46E-07
THBD,-3.061345076,5.46E-07
LINC02432,-3.797309488,5.48E-07
BRD9,-0.684594595,5.48E-07
RNLS,0.750360986,5.51E-07
ZFP92,-2.954762822,5.53E-07
FEN1,-1.296459648,5.55E-07
RNPS1,-0.418096412,5.56E-07
MAP3K2,1.014551888,5.57E-07
SPOCD1,-3.212642864,5.57E-07
TOX,2.716309539,5.58E-07
H3C8,-4.970914343,5.58E-07
TMEM230,0.47179576,5.58E-07
ADGRB1,-1.736635355,5.59E-07
WDR4,-1.176297665,5.66E-07
CBFA2T3,1.965100717,5.71E-07
MAEL,-5.435178122,5.75E-07
DOP1A,1.137510412,5.77E-07
KIF3B,0.806090991,5.83E-07
LZTFL1,-0.808440267,5.85E-07
CAPN1,1.105076714,5.88E-07
EZH2,-1.072587694,5.91E-07
NBR2,0.990963388,5.93E-07
MYO3B,-3.853660804,5.93E-07
LINC02334,-4.321532357,5.97E-07
EPN2,0.63065926,6.04E-07
CABLES2,1.067853962,6.05E-07
ZNF304,0.633779572,6.08E-07
LOC105371910,4.205012828,6.15E-07
ZMYM6,0.73999292,6.16E-07
RNU6ATAC35P,3.092522681,6.16E-07
PWWP3B,-1.331388753,6.16E-07
LOC112268008,3.216933186,6.21E-07
LOC107986946,3.345427511,6.24E-07
UBE2Q2P1,3.96879638,6.29E-07
LOC105376314,4.668518086,6.30E-07
LOC105372507,2.255035521,6.32E-07
MIR4500HG,5.105669893,6.33E-07
OXCT1,1.15985862,6.35E-07
TEDC2,-0.913619133,6.35E-07
TKTL1,-3.018781544,6.37E-07
PSMA3-AS1,1.12133588,6.40E-07
AKR1A1,-0.95431186,6.42E-07
MYOZ1,-2.049942909,6.42E-07
LOC107984118,-3.837850655,6.45E-07
STK38L,-1.398822028,6.51E-07
DOCK8-AS1,-5.123379506,6.54E-07
SLC19A1,-0.889079873,6.54E-07
ALB,2.251540477,6.57E-07
LOC105378390,3.802081604,6.62E-07
NIFK,-1.032894834,6.64E-07
UBXN11,-1.018537414,6.67E-07
METTL8,-0.872042854,6.67E-07
PTPRH,1.843041811,6.68E-07
SERPINB7,-5.56126358,6.69E-07
LGALS12,4.9330078,6.69E-07
CENPK,-1.585388571,6.69E-07
CAMK1,0.901981035,6.79E-07
POU3F1,1.748207767,6.79E-07
CCN6,3.643678705,6.83E-07
ZNF180,0.996935229,6.84E-07
TMED5,-0.600025951,6.88E-07
ZKSCAN4,0.624551063,6.90E-07
FGD6,-0.915852167,6.90E-07
RAB11A,0.534967167,6.91E-07
P2RX4,-1.12170708,6.95E-07
RPS8,-1.107463865,6.98E-07
CC2D2A,0.726681076,6.98E-07
LOC107986569,-5.63131012,7.06E-07
PEF1-AS1,-3.916733872,7.07E-07
HCRT,3.730924167,7.07E-07
ECRG4,-3.802011561,7.09E-07
MCC,1.270686402,7.12E-07
SPC25,-4.108486756,7.12E-07
FBXL14,0.921769866,7.12E-07
BDKRB2,2.064182892,7.16E-07
TBRG4,-0.679408059,7.16E-07
LOC101928705,2.249792389,7.26E-07
AGAP3,0.723518588,7.26E-07
UBTF,1.10911724,7.26E-07
ORAI1_1,-2.137073761,7.31E-07
SRCIN1_1,3.266940237,7.32E-07
DUSP9,-3.138010864,7.35E-07
VANGL1,-0.727851636,7.36E-07
RANBP10,0.74762959,7.36E-07
F2R,0.856758087,7.40E-07
LNPEP,1.449605706,7.41E-07
UBQLN1-AS1,1.493813095,7.42E-07
EBAG9,0.582301731,7.42E-07
TRIP4,0.673985977,7.45E-07
LOC105369543,4.885106661,7.45E-07
SCN2A,2.558057174,7.47E-07
PHLDA3,-2.202768858,7.48E-07
RAB3GAP1,0.520538439,7.53E-07
ABCB1,-2.927692454,7.55E-07
LOC102723694,-2.197187173,7.56E-07
VWA3B,3.889342141,7.56E-07
CCEPR,2.80230346,7.59E-07
GRID2,-2.335656582,7.64E-07
SREBF2,0.793334841,7.70E-07
EIF3H,-0.634547273,7.71E-07
SNORD23,-2.863976781,7.71E-07
TCERG1,-0.866856946,7.74E-07
BCAS4,-0.964852115,7.77E-07
RRP12,-0.870449969,7.78E-07
CXorf65,3.744966231,7.78E-07
ENKD1,0.883780452,7.81E-07
CHMP1B2P,1.363313376,7.85E-07
LINC01515,-4.319307085,7.88E-07
RRP1B,-0.882168617,7.90E-07
LOC101929356,-2.367350006,7.90E-07
NCLN,-1.045100173,7.96E-07
FDPS,-0.720211969,7.96E-07
LINC00624,-5.029809837,8.03E-07
LOC105376313,3.148224495,8.23E-07
LOC101927947,-3.552889214,8.23E-07
UNC45A,-0.688241119,8.24E-07
PCMTD1,1.180492704,8.29E-07
SFXN3,1.674888523,8.29E-07
LOC101927314,3.165037588,8.36E-07
GPR19,-0.774992329,8.37E-07
ZNF358,0.967455979,8.40E-07
TFDP1,-0.836526226,8.40E-07
NOP58,-1.08415073,8.41E-07
ATP11B,-0.688868025,8.41E-07
RNVU1-1,2.435306133,8.42E-07
NOP14,-1.465240704,8.45E-07
ETV1,-1.148983723,8.45E-07
LOC107986043,3.774014629,8.46E-07
SPATA31A6,-5.608685631,8.51E-07
NDUFA6_1,1.159505046,8.53E-07
SLC30A5,-0.825877422,8.56E-07
EXPH5,-2.765472103,8.58E-07
HTR3B,5.083090348,8.59E-07
MIR222HG,-2.877839717,8.62E-07
NUPR1,-5.898063245,8.69E-07
SMG7,0.792674263,8.72E-07
CCDC137,-0.932862103,8.78E-07
HSPA14,-0.934672655,8.85E-07
WDR59,-0.602595944,8.92E-07
LOC107987372,3.814734636,8.97E-07
TEX19,-3.726854329,8.98E-07
RHOQ,1.066962829,8.98E-07
SELENOM,-1.819060146,9.09E-07
PLCXD3,3.009883225,9.12E-07
HEY2,1.886187308,9.13E-07
LOC105375567,1.498168828,9.13E-07
FSTL5,3.004335536,9.15E-07
FANCE,0.828258582,9.18E-07
AHCYL1,-0.565041325,9.19E-07
GCK,1.646136369,9.21E-07
TMED1,-1.301147489,9.23E-07
TPGS2,0.64007406,9.24E-07
QRICH1,-0.369802397,9.31E-07
PCDHA6,1.948685442,9.40E-07
LOC107986413,-3.061826517,9.43E-07
INTS14,-0.58086993,9.45E-07
FPGT,0.590306784,9.50E-07
BUD13,-0.73702564,9.57E-07
PPP1R9B,0.84360378,9.57E-07
MAPK1IP1L,-0.621680639,9.58E-07
ELMOD2,0.789326492,9.60E-07
EEF1A1,-1.116713205,9.61E-07
KLHL15,-0.885239549,9.61E-07
SAMD11,3.013228506,9.65E-07
FMO2,-5.635905791,9.68E-07
KCNK15-AS1,1.857814882,9.84E-07
LOC105447645,2.7883047,9.92E-07
ATP6V1C2,-1.769848812,9.92E-07
EMB,-1.256686436,9.94E-07
XIAP,0.533989269,1.00E-06
FAM81A,1.716483853,1.00E-06
VTCN1,-1.887817459,1.02E-06
PRNP,1.127741996,1.02E-06
ARL6IP5,1.015161579,1.02E-06
S1PR5,-4.866355329,1.02E-06
ING5,-0.902902382,1.02E-06
VENTX,-3.5551201,1.04E-06
FAM110B,0.864314452,1.05E-06
ARSB,-0.592866296,1.06E-06
OGG1,0.617984708,1.06E-06
LRP12,0.626007446,1.06E-06
LINC02289,-5.296303358,1.06E-06
TBX10,-2.133732411,1.07E-06
MMP9,-2.270868337,1.08E-06
NGF-AS1,3.341229549,1.08E-06
MTOR,0.571362937,1.08E-06
HIC2,0.913486908,1.09E-06
EHHADH,-2.040628489,1.09E-06
SNAP47,-0.499215244,1.10E-06
LOC105377735,2.457403847,1.10E-06
PDE4DIPP1,2.625651533,1.10E-06
CEP68,0.500716352,1.10E-06
LINC02315,-2.027818433,1.10E-06
LDOC1,0.903086,1.10E-06
LOC105372582,1.815904587,1.10E-06
MALT1,-0.727715634,1.11E-06
TRDN,3.50606728,1.11E-06
SNORD6,-2.76504733,1.11E-06
PRSS57,-5.915400899,1.11E-06
APLF,-1.312224715,1.12E-06
EBNA1BP2,-0.80513805,1.12E-06
NUDCD1,-1.00535862,1.13E-06
SLC47A1,-2.982368272,1.13E-06
GRAMD1C,-2.519630759,1.14E-06
RGS9,-1.578979123,1.14E-06
PAX7,-4.709148951,1.14E-06
TMEM60,-0.802793699,1.15E-06
EPHB1,1.574557186,1.16E-06
ATP11C,0.676820672,1.16E-06
FLNC,-2.178707892,1.16E-06
SLC16A7,1.041346441,1.16E-06
SUGT1,0.402098136,1.16E-06
KLF3,-0.864253349,1.17E-06
PRSS45P,-4.735168743,1.17E-06
SERTM1,2.804657372,1.17E-06
NUDT17,-1.527146909,1.17E-06
RAET1E,3.837498711,1.17E-06
SP5,-5.14525649,1.18E-06
UTS2,-5.064639062,1.18E-06
LOC101928279,1.92546792,1.18E-06
ACBD6,0.461118876,1.18E-06
LOC100506532,-5.180710333,1.18E-06
CCNB3,2.574250131,1.18E-06
KRT80,-3.568836278,1.19E-06
SERPING1,-0.905070393,1.19E-06
EDARADD,-1.561862516,1.19E-06
DNASE1L2,1.99048406,1.19E-06
NELL1,3.913493262,1.19E-06
UBA2,-0.732049407,1.19E-06
CARMAL,-5.318723007,1.20E-06
LIX1-AS1,-3.305351951,1.20E-06
MKLN1-AS,1.074422272,1.21E-06
HIP1R,-1.193462784,1.21E-06
OAS3,-4.089646914,1.21E-06
SYNJ2BP,0.472398463,1.23E-06
FAM149B1,0.715012694,1.24E-06
ANAPC10,-1.183099073,1.24E-06
AHCTF1,-0.655035948,1.25E-06
KIF17,-1.311758163,1.26E-06
HLA-A_5,-5.232863373,1.27E-06
HNRNPAB,-0.897002641,1.27E-06
MALL,-3.160282078,1.28E-06
LOC107986642,1.128130096,1.28E-06
APBA3,-0.962960828,1.29E-06
UTP6,-0.414317636,1.29E-06
LOC105377375,-5.840533372,1.29E-06
PCDHAC2,1.024017281,1.29E-06
HHLA3,-0.867390693,1.29E-06
LZTR1,0.859091425,1.30E-06
TCEANC2,0.74121385,1.31E-06
NBEAL1,-0.80799004,1.31E-06
ZNF273,-0.846471062,1.31E-06
MED13,0.802260579,1.32E-06
BRAT1,-0.64232773,1.32E-06
SORD2P,-1.285026598,1.33E-06
CLK1,1.144464779,1.33E-06
MCF2L,0.916135728,1.33E-06
PDE11A,2.269150139,1.34E-06
SNRPD2,-0.990759089,1.34E-06
SRA1,-0.546466401,1.34E-06
LINC01841,1.577722821,1.34E-06
MEIS3,1.072295844,1.34E-06
RNF227,-1.137128396,1.34E-06
COX4I1,0.874589066,1.35E-06
SEMA3G,-1.657636677,1.35E-06
CPPED1,-0.69832928,1.35E-06
ZFP62,0.972679094,1.36E-06
TMEM40,-5.406748081,1.37E-06
CERS1,-0.97127571,1.38E-06
CDC42BPG,-2.809430974,1.38E-06
PCDHB2,-1.324177612,1.38E-06
CCDC50,1.193953816,1.38E-06
RPAIN,0.60317268,1.38E-06
DMRTA1,-2.158063639,1.39E-06
IGLON5,1.396463013,1.39E-06
GNB5,0.677037382,1.39E-06
PELP1,-0.570595342,1.39E-06
B3GNT4,-1.835313725,1.39E-06
CRYBG3,-1.306353364,1.40E-06
RND1,-2.018496487,1.41E-06
GALNT6,-4.483241442,1.42E-06
MFAP1,-0.432614214,1.42E-06
SNORD45C,-3.742215789,1.43E-06
RPL23A,-1.346657146,1.43E-06
VAT1L,1.2833245,1.43E-06
NDST4,1.185262288,1.43E-06
MIR302A,-5.117040652,1.44E-06
FUT8-AS1,1.372438993,1.44E-06
ETFRF1,1.20286947,1.44E-06
LOC107985922,5.341484016,1.44E-06
HNRNPA3,-0.457506876,1.45E-06
AP1S2,-0.919630302,1.45E-06
PAK4,-1.108425611,1.46E-06
LOC107984269,4.742828475,1.46E-06
TM9SF2,0.423519473,1.46E-06
GRIN2B,-2.031676726,1.46E-06
ZNF554,0.765493713,1.48E-06
HARS2,0.46750881,1.49E-06
ZNF525,-1.16094067,1.49E-06
SLF1,-1.002329836,1.49E-06
LPL,-3.07256882,1.50E-06
HR,3.916707348,1.51E-06
RPS16,-1.229359243,1.51E-06
PHKG2,-0.486039019,1.51E-06
PDSS2,0.642197457,1.52E-06
LINC02293,3.305920605,1.53E-06
RWDD2B,1.08067229,1.54E-06
PSMG1,-0.799239299,1.54E-06
CEP70,-1.546793991,1.54E-06
SAMD13,-2.508340119,1.55E-06
SNAPC3,0.712135879,1.56E-06
LOC105374127,-5.304115979,1.56E-06
AKR1E2,-1.15577265,1.57E-06
RNF141,0.686143639,1.57E-06
ANKLE1,-1.383789954,1.57E-06
KIAA0319L,0.601027165,1.57E-06
RETREG3,0.810640311,1.58E-06
RBM28,-0.654242588,1.58E-06
RPAP2,1.196115448,1.58E-06
LOC105369391,2.2684099,1.58E-06
FUNDC1,0.723453465,1.59E-06
GPR22_1,4.7100337,1.60E-06
ZNF19,0.648945428,1.60E-06
TYSND1,-1.291999088,1.60E-06
RECQL4,-1.394639264,1.62E-06
BIN3,-0.87622572,1.62E-06
CES5A_1,5.248252934,1.64E-06
SLC20A1,-0.874314713,1.64E-06
ARNTL2,1.321116831,1.64E-06
CBWD2,0.770817464,1.65E-06
PDHA1,0.348185725,1.65E-06
LOC105373302,1.55556731,1.65E-06
PGAM5,-1.46977964,1.65E-06
PMPCA,-0.609540126,1.66E-06
LINC02593,2.838850375,1.66E-06
MYH2,-4.972308577,1.66E-06
DEDD,0.51830037,1.66E-06
SNHG16,-1.21487837,1.66E-06
LOC105373312,2.662528953,1.67E-06
LOC105370910,1.795300379,1.67E-06
SNORD109A,-2.824157377,1.68E-06
ARFGAP1,-1.045839113,1.70E-06
LOC107985044,5.385781688,1.71E-06
NOL11,-0.78483685,1.71E-06
EGR4,-4.315888975,1.73E-06
LOC100507560,-4.75468605,1.74E-06
FBXO32,2.101611141,1.74E-06
ZNF112,1.75162576,1.74E-06
RGS6,-2.160813402,1.75E-06
TRIAP1,-1.15717937,1.75E-06
MRPS2,-0.658605142,1.75E-06
SHISAL2B,-2.118728295,1.76E-06
BVES-AS1,3.871062094,1.76E-06
ACOT8,0.987877436,1.76E-06
SYNM,1.421323061,1.76E-06
HLA-C_6,-4.72104046,1.77E-06
LOC107984510,-4.281631589,1.77E-06
GRAMD2B,-2.060478282,1.78E-06
UBN2,1.057518301,1.78E-06
HDGF,-1.392296973,1.79E-06
RASGRP1,2.174264603,1.79E-06
ZNF724,-1.087281323,1.79E-06
ZBTB20,2.984106379,1.80E-06
PNMA8A,0.792050307,1.80E-06
TMEM71,-5.341905968,1.82E-06
ARHGAP32,0.944374387,1.82E-06
HSPB9,2.853531277,1.83E-06
KLHL2,0.835089272,1.84E-06
MFSD10,-0.695841912,1.84E-06
PURB,-0.889732042,1.85E-06
CEP128,1.505252022,1.86E-06
PGM5P2,1.526450332,1.86E-06
GTF2H2,-1.501955772,1.86E-06
PRR14,0.638121794,1.87E-06
LOC107986872,3.075358841,1.88E-06
PLPPR1_1,4.276727721,1.88E-06
LOC105376267,-4.956014424,1.89E-06
MICOS10,0.779737205,1.89E-06
ALYREF,-1.541274169,1.90E-06
FAM13B,1.225738233,1.90E-06
GBP2,3.663097086,1.91E-06
LINC00941,-3.541651687,1.91E-06
SORCS3,2.620310155,1.92E-06
SPAG4,-3.052306026,1.92E-06
NAXD,0.490756756,1.92E-06
CNFN,-2.721287545,1.93E-06
TRBV26OR9-2,2.141008496,1.93E-06
DCTN5,0.795267485,1.93E-06
HELQ,0.483851667,1.93E-06
SNORD83B,-1.909399295,1.94E-06
ARHGAP26,-0.955839876,1.94E-06
NPNT,3.057344841,1.95E-06
PPP1R9A,1.374419936,1.95E-06
QSOX1,-0.860225464,1.96E-06
GPATCH4,-1.226963358,1.96E-06
ST14,-5.309908422,1.97E-06
PRKD1,-1.921908432,2.00E-06
LDAF1,0.959928953,2.00E-06
LOC105370575,-2.662902384,2.00E-06
LHX4,1.896529099,2.00E-06
RPL13AP20,-2.187415652,2.01E-06
PIGM,0.786435971,2.01E-06
ARHGEF7-AS2,2.204271532,2.03E-06
CCKBR,-2.337387335,2.03E-06
TRA2B,-0.750717909,2.03E-06
PHLPP2,-0.63718284,2.05E-06
GPX2,2.756463638,2.05E-06
HPRT1,-1.0492014,2.05E-06
NKX2-1-AS1,5.122176046,2.06E-06
AP2M1,0.532480313,2.06E-06
KANK3,-2.822126645,2.08E-06
EIF4H,-0.884319612,2.09E-06
IFIT2,-5.359317957,2.09E-06
PGM5P4,4.751126642,2.10E-06
ASRGL1,0.594479963,2.11E-06
LINC01977,4.185109444,2.12E-06
GPX7,-1.324221554,2.13E-06
LOC105376600,2.583598671,2.13E-06
RNF4,-0.49821646,2.13E-06
LINC00954,-3.700897403,2.14E-06
DNM2,-0.787899112,2.14E-06
MIR6835,-2.833254763,2.15E-06
GLDN,-3.391909652,2.15E-06
UGDH-AS1,0.929981555,2.15E-06
ZNF652-AS1,2.486627133,2.16E-06
WFDC2,-2.888969069,2.16E-06
ENHO,1.343109709,2.16E-06
GABPB1,-0.750354418,2.18E-06
NDUFA4,0.903345427,2.19E-06
LOC102724965,2.750889358,2.20E-06
RNF13,1.015957271,2.20E-06
LRRIQ1,1.671184031,2.21E-06
GM2A,-1.118166097,2.21E-06
ZMAT4,1.228311753,2.21E-06
COQ6,0.847670184,2.21E-06
LOC107986749,3.699612785,2.21E-06
PTGES3L-AARSD1,1.904968518,2.22E-06
DARS2,-0.803432593,2.22E-06
ATP1B2,1.936357417,2.23E-06
PUS7,-1.058197156,2.23E-06
UBE2G2,-0.498416146,2.23E-06
TTC28,0.945391628,2.23E-06
ASIC4-AS1,4.203672962,2.25E-06
JOSD2,1.882196336,2.26E-06
TM6SF2,-1.250616902,2.26E-06
ASB12,4.410120081,2.27E-06
LOC107985428,-4.990176599,2.28E-06
TSC22D1-AS1,1.092594977,2.29E-06
ZNF396,1.201753241,2.29E-06
FBXO44,1.135967284,2.29E-06
ARNTL,1.286947806,2.30E-06
LOC107985664,3.11356577,2.30E-06
GRM7,-3.01568757,2.30E-06
QTRT2,-0.979284516,2.31E-06
SCD,-0.893344062,2.31E-06
ANP32A,-1.107401593,2.31E-06
PCOLCE-AS1,-3.986620276,2.31E-06
GRIN2A,-1.846522089,2.31E-06
TMEM134,-1.247731675,2.31E-06
LOC107985993,5.445712651,2.32E-06
HSD17B6,-1.582862573,2.32E-06
TAGAP,3.944485314,2.32E-06
GPR132,-3.545035349,2.32E-06
GPR87,-4.942875805,2.34E-06
DGKA,-1.464097261,2.35E-06
SNORD134,-4.055066789,2.35E-06
RPS27L,-1.617757222,2.39E-06
LOC101927025,2.85707764,2.39E-06
ERG,-3.13061521,2.40E-06
DUS2,-0.669989069,2.41E-06
PLVAP,-5.453689428,2.41E-06
TMEM170A,-0.528408002,2.41E-06
MED7,0.618483846,2.42E-06
SPTY2D1,-0.592023623,2.43E-06
LINC00682,4.562777728,2.43E-06
LOC105371611,-5.263654482,2.43E-06
NUS1,-0.704643004,2.44E-06
LOC101927888,-5.553280566,2.45E-06
PLAAT5,1.660785106,2.45E-06
SRGAP2D,1.165824488,2.46E-06
LINC01461,-3.566616528,2.46E-06
DENND10P1,-0.615251334,2.53E-06
GNGT2,-4.40558345,2.53E-06
SIGLEC10-AS1,-2.882496824,2.54E-06
LINC01184,0.871125032,2.55E-06
MLXIPL,-3.62611019,2.55E-06
MECOM,-3.767156093,2.55E-06
SNHG30,0.865293582,2.56E-06
ALOX12,0.873585871,2.56E-06
STK39,0.928758501,2.58E-06
SCNN1G,4.236731431,2.58E-06
ANKRD50,0.665162059,2.60E-06
ELOVL1,-1.615273131,2.63E-06
LOC112268295,2.924402014,2.64E-06
ZNF76,0.688329008,2.66E-06
LRRC36,4.676436696,2.67E-06
RPL27A,-1.446589487,2.67E-06
C4orf48,1.928445596,2.67E-06
LAMC3,-3.550106061,2.69E-06
WDR74,-0.790765512,2.70E-06
AP3M1,0.644692157,2.72E-06
RASAL2,1.062841722,2.72E-06
MUC15,-5.487498432,2.72E-06
USP53,-1.122315838,2.74E-06
PROX2,2.054819822,2.74E-06
SPIN2B,0.901490137,2.75E-06
KDM4B,0.496917013,2.75E-06
FAM177A1,0.681795802,2.75E-06
GALNT4,-3.65205605,2.76E-06
ZFAS1,-1.273451368,2.76E-06
SLC23A2,1.190083555,2.76E-06
CHST12,0.559737416,2.77E-06
NDUFAF8,-1.113011121,2.78E-06
MMP16,0.726565606,2.78E-06
PSMD5,-0.557992954,2.80E-06
PROC,2.426823516,2.80E-06
C17orf107,-1.197309943,2.80E-06
LOC105374935,4.618777038,2.81E-06
IP6K2,0.498781046,2.82E-06
KCNA7,-4.432149821,2.83E-06
PHF20L1,0.539846688,2.83E-06
EFHC2,-2.030043227,2.85E-06
C11orf45,2.573625712,2.85E-06
TEC,-2.985793448,2.86E-06
HMGA2-AS1,-5.10681045,2.89E-06
LOC105374848,3.712748524,2.89E-06
