Gene,logFC,FDR
RPS14,-1.264673275,9.26E-10
EAF1,0.771466,9.28E-10
USH1G,-3.525194989,9.38E-10
AMT,-1.197786531,9.38E-10
KLF8,1.18145334,9.42E-10
ATG12,0.63264586,9.50E-10
MTRF1,-1.37939475,9.51E-10
LMO4,1.45777747,9.53E-10
STARD8,-3.527636476,9.54E-10
ZFHX2,-2.805406593,9.54E-10
RSPH9,1.825531188,9.61E-10
LOC101929270,4.107493046,9.64E-10
LDB2,-3.363177741,9.69E-10
MSRB1,-1.425105594,9.77E-10
LOC105374085,2.965023712,9.82E-10
SPAG16-DT,4.047400284,9.86E-10
STAB1,-4.874124254,9.94E-10
ZNF487,1.57348835,9.96E-10
METTL1,-2.554348995,1.00E-09
PRDX4,-1.939631163,1.01E-09
NR2C2AP,-1.265406096,1.03E-09
FAM3C,1.027692429,1.03E-09
TFIP11-DT,1.81987626,1.03E-09
SNAP29,1.249057562,1.04E-09
ACSM3,-3.279009351,1.05E-09
ILF2,-1.059076336,1.05E-09
KLF4,-4.224651937,1.06E-09
SSPN,-2.845546624,1.06E-09
PLOD3,-1.084310752,1.06E-09
FAM104A,-0.73083779,1.06E-09
LCN10,-6.886194093,1.07E-09
LOC105376177,-2.226676105,1.08E-09
BYSL,-1.265311128,1.08E-09
BOD1,-0.862631979,1.08E-09
BARHL2,5.903390725,1.08E-09
ZNF500,0.784391657,1.09E-09
TFAP2A,6.183645301,1.09E-09
SLC41A1,-1.1015681,1.11E-09
SLC1A6,0.747393466,1.11E-09
ADAM15,-2.382573409,1.12E-09
ARSJ,-4.413515987,1.13E-09
PDGFRA,-4.281004154,1.13E-09
H1-3,-7.328950276,1.14E-09
KLRG2,-5.738862922,1.14E-09
ZNF700,-1.326777188,1.14E-09
LINC02894,-7.361587012,1.16E-09
OTUD4,-0.861786348,1.16E-09
H1-10,1.016197609,1.16E-09
OVOL1,-4.330731088,1.17E-09
CLMN,-3.551668061,1.17E-09
SNHG17,-1.566172817,1.19E-09
PSMD5,-0.951237768,1.19E-09
GTF2IP4,1.240393833,1.19E-09
LRP11,0.791097768,1.20E-09
IQGAP3,-3.749173849,1.21E-09
TBRG1,0.947096578,1.21E-09
MMP24OS,1.430252847,1.21E-09
ATP7A,1.562396547,1.22E-09
WFDC2,-2.642718761,1.23E-09
STARD13,-1.610647205,1.23E-09
FBXW11,2.170374354,1.23E-09
UBE3A,-0.736375552,1.24E-09
PABIR1,0.982756127,1.24E-09
CCDC138,-1.621108144,1.25E-09
SALL2,-1.015689385,1.25E-09
EXOC4,0.587071825,1.25E-09
LEO1,-0.899783925,1.26E-09
TPM1-AS,-3.054484173,1.28E-09
PSMD2,-0.44881191,1.28E-09
UFM1,0.657470035,1.29E-09
EXOC3-AS1,2.206210646,1.29E-09
WNT4,2.602550423,1.29E-09
DUS3L,-1.424403331,1.30E-09
SIRT3,0.765714202,1.30E-09
MMRN1,6.080928817,1.31E-09
LOC105373125,6.083637337,1.32E-09
BBLN,1.361896046,1.33E-09
SFR1,-2.007419335,1.34E-09
COL13A1,2.144034778,1.34E-09
BRD1,1.023243077,1.35E-09
CRYBB1,-4.529526633,1.36E-09
IPO7,-0.927378965,1.36E-09
GSAP,3.347035549,1.38E-09
LOC105369391,5.071265784,1.40E-09
CD58,-2.993056706,1.41E-09
AHNAK2,1.830969976,1.41E-09
LOC105376486,2.492103426,1.42E-09
RBP1,2.710189084,1.42E-09
SCN4B,-3.142574023,1.43E-09
ST3GAL6,-2.675157379,1.43E-09
DDX50,-1.058223314,1.43E-09
ZBTB6,0.952988724,1.43E-09
LOC105375560,-7.004724099,1.44E-09
ZBTB8A,0.866842313,1.44E-09
DOP1A,1.415801719,1.44E-09
C16orf54,-7.450486118,1.45E-09
LYRM9,1.943604357,1.45E-09
SH2D7,2.066155042,1.45E-09
ATP13A3,-1.06089086,1.46E-09
GTF2F2,-0.985948603,1.46E-09
TMEM135,-1.166930215,1.48E-09
SUGP2,0.841843657,1.48E-09
TNFSF4,-3.023657129,1.49E-09
GALNT16-AS1,2.100960083,1.49E-09
HPR,-6.502008747,1.53E-09
PKD1L2,-4.320616599,1.53E-09
SSR1,-1.149718144,1.53E-09
TTI2,-0.767200626,1.55E-09
LOC105372479,3.525397236,1.55E-09
LRRC58,-1.446739801,1.56E-09
SLC26A2,-0.89400701,1.56E-09
GPR26,2.286418368,1.56E-09
LOC105378797,3.837302747,1.57E-09
CPO,2.097346629,1.58E-09
ONECUT1,3.265536341,1.58E-09
JAK3,-2.398396205,1.59E-09
ZNF175,0.885273534,1.62E-09
LIMCH1,2.284184855,1.62E-09
ARHGAP25,-6.608389672,1.63E-09
PPIL1,-0.987100596,1.63E-09
MARVELD2_1,-3.291783421,1.67E-09
MPP7,-1.067517297,1.68E-09
IL17RB,-4.274895028,1.71E-09
SENP1,-0.998959941,1.71E-09
GPC6,-1.081334409,1.72E-09
LRRC17,-1.886864811,1.74E-09
NCBP1,-0.777598829,1.75E-09
BISPR,-4.158744729,1.76E-09
FLNA,-2.580227889,1.77E-09
AGFG1,-0.531180703,1.77E-09
SLC25A48,-4.230692731,1.78E-09
GORASP2,-0.691964356,1.78E-09
LOC728673,1.717052829,1.78E-09
LOC105373302,2.920362929,1.78E-09
LOC105378798,-5.725013782,1.81E-09
ECPAS,-0.808043576,1.81E-09
POU2F3,-7.407689883,1.83E-09
LOC101927509,-4.74124536,1.84E-09
SEPTIN8,0.784205768,1.84E-09
SLC25A27,2.329370861,1.84E-09
LOC112268049,5.334189022,1.84E-09
POU3F4,-4.178053552,1.86E-09
GAMT,1.050249183,1.89E-09
VWF,-6.183038889,1.90E-09
DLGAP4-AS1,-6.762685777,1.95E-09
LINC01405,-5.25458467,1.95E-09
WDR77,-0.840892305,1.97E-09
GRHL1,1.664923742,1.99E-09
WDR20,0.65316303,2.00E-09
LOC100506100,-2.771028143,2.01E-09
NUDT16L2P,-2.639685531,2.01E-09
SLC34A2,-4.720328634,2.04E-09
PYCR2,-1.24801349,2.04E-09
LOC730101,1.616821722,2.04E-09
SNORD79,-2.784077174,2.05E-09
CEACAM1,-5.668939603,2.06E-09
ZNF468,-0.968119529,2.06E-09
CREG1,-0.932188464,2.06E-09
GABRA2,3.694665547,2.06E-09
WDR25,1.187661127,2.08E-09
DCAF12,0.942352019,2.09E-09
LOC441242,1.652924619,2.09E-09
GLUL,-0.65073244,2.10E-09
PDCD2,-0.931930139,2.11E-09
KIAA1549,1.652620117,2.11E-09
LOC107987083,-6.278096975,2.12E-09
DCTD,-0.712659593,2.14E-09
TRIM44,0.97582021,2.14E-09
USP51,-1.23040911,2.17E-09
LOC107984837,-2.867989753,2.18E-09
PIGQ,1.313607895,2.19E-09
DNAJA2,-0.632284156,2.22E-09
GALNT14,-1.667268193,2.23E-09
SPAST,0.774328236,2.24E-09
PRSS50,-4.912654361,2.35E-09
KICS2,-1.428421641,2.35E-09
FAM210B,0.468728247,2.35E-09
RDH11,-0.707614853,2.36E-09
TRAPPC8,-0.789082259,2.40E-09
VPS26C,-0.786359294,2.40E-09
RLIM,0.945363458,2.40E-09
FLJ46875,2.5906117,2.40E-09
GEMIN2,-1.538513894,2.48E-09
SSTR2,1.933085698,2.49E-09
CA3,-5.66609272,2.50E-09
DAB1,2.754717611,2.51E-09
LMO2,3.209162384,2.51E-09
KCNQ1OT1,-4.019820891,2.52E-09
PIK3CA,1.021302016,2.52E-09
TIRAP,1.387066853,2.52E-09
PPP1R3B,-3.324580253,2.57E-09
FAR2,-1.04017553,2.59E-09
HAUS5,-1.049516914,2.60E-09
USP46,-0.69511915,2.60E-09
IFT52,0.595713054,2.60E-09
LOC107984273,5.135149722,2.60E-09
ZNF107,-7.346960255,2.61E-09
RABGAP1L,-0.980033234,2.61E-09
CNFN,-4.189818767,2.63E-09
ST6GALNAC4,-2.346123003,2.63E-09
RNF13,-0.747354094,2.63E-09
RPL23AP82,1.410521345,2.63E-09
HLA-A_3,-3.964096704,2.65E-09
ALX3,0.778197685,2.65E-09
MAP3K13,2.366751637,2.67E-09
EGR2,-4.332444551,2.68E-09
HIC2,1.605612221,2.69E-09
SENP8,0.925225408,2.70E-09
RBKS,2.11030906,2.73E-09
SNX19,1.228066735,2.74E-09
ANGEL2,-0.986492124,2.80E-09
HMGCR,0.812758476,2.85E-09
PCDHGC3,-0.942707816,2.86E-09
CHST12,0.633579606,2.86E-09
ZNF43,-1.762381803,2.87E-09
LINC02175,3.879573999,2.88E-09
ARV1,1.13125157,2.91E-09
KCP,-3.946421933,2.92E-09
CCDC14,-1.450156274,2.93E-09
LOC728715,-4.254727752,2.95E-09
TMEM253,-3.003513918,2.96E-09
LOC105371910,4.874999995,2.97E-09
EXO5,1.388054052,2.99E-09
WDR17,2.012365159,3.00E-09
ZNF219,-1.779197451,3.04E-09
THOC2,-1.232972204,3.04E-09
LOC105379005,-4.35930867,3.05E-09
NANP,-1.066413525,3.07E-09
TET3,1.788798542,3.08E-09
LOC107986153,-6.340098526,3.10E-09
MIR1-1HG-AS1,3.82392199,3.15E-09
RAVER1,-1.547602404,3.17E-09
OSTM1,0.868288975,3.17E-09
SIVA1,-1.827719664,3.18E-09
LOC220729,1.356191064,3.21E-09
NDST4,4.662823886,3.21E-09
ETV7,-6.799158314,3.22E-09
LOC102724220,-6.107209024,3.23E-09
SLC6A16,-2.963024148,3.27E-09
POLR1G,-1.916054008,3.27E-09
PLPPR5,2.36107372,3.30E-09
MHENCR,1.830393392,3.31E-09
SPTBN1,0.70774195,3.41E-09
ATP6AP2,0.787839821,3.48E-09
LOC105377388,5.335027118,3.48E-09
BMERB1_1,3.123459498,3.53E-09
TRAPPC1,1.469821441,3.56E-09
DAB2IP,1.719236706,3.56E-09
XG,-5.368225319,3.57E-09
RSPO3,5.996530782,3.57E-09
DNAH17,-2.2608261,3.59E-09
AKAP11,1.368241307,3.60E-09
PEX11A,1.278648331,3.64E-09
CRACR2B,-2.0524906,3.66E-09
COA6,-1.481758985,3.66E-09
CSRNP3,2.782984977,3.66E-09
LOC107985400,2.949732026,3.66E-09
LINC02463,5.658933002,3.68E-09
ASB9,-6.691140701,3.70E-09
EIF3I,-0.903677787,3.70E-09
MARS2,-0.90097242,3.70E-09
HDLBP,-0.770410636,3.71E-09
TRIM21,-2.066373135,3.72E-09
FAM71F1,-4.281748614,3.74E-09
PCDHGA11,-5.213420878,3.75E-09
HAPLN2,3.977717849,3.75E-09
SUCLG1,1.149524474,3.80E-09
SLC27A5,-1.652185814,3.85E-09
PSMD7,-1.059596969,3.86E-09
PAXBP1,-1.257513908,3.87E-09
LINC01521,1.595437562,3.87E-09
LINC01000,1.969004284,3.87E-09
IGIP,2.266367184,3.87E-09
RBM26,-1.254174731,3.88E-09
A1BG-AS1,2.385997356,3.89E-09
UTP11,-1.056261316,3.90E-09
LOC100133315,-2.354620773,3.91E-09
TRIM2,1.293298216,3.92E-09
TSL,-7.152967608,3.94E-09
KLC3,-4.09006829,3.94E-09
LHX6,-6.204687805,3.95E-09
THAP2,1.520799913,3.97E-09
EIF4A3,-0.737545672,3.98E-09
C11orf54,-1.083705488,4.01E-09
COA5,0.631974593,4.02E-09
TRIM47,-3.471047673,4.05E-09
UBAP2,-0.969555222,4.10E-09
SH3KBP1,1.27040139,4.11E-09
LOC112268258,-4.56391663,4.16E-09
VAV1,-6.786819516,4.19E-09
ANPEP,-4.694379837,4.23E-09
EXOSC1,-1.086294838,4.24E-09
LINS1,0.833678095,4.28E-09
APH1B,-0.940816121,4.29E-09
ELOVL7,-1.842865178,4.35E-09
DUSP12,0.877651183,4.38E-09
KIF9-AS1,1.827462523,4.41E-09
ZNF721,-1.012187836,4.42E-09
FAM199X,0.891189095,4.46E-09
COL4A5,-3.376228653,4.48E-09
SEPTIN7-DT,3.115581538,4.48E-09
LRMDA,2.909678175,4.49E-09
GPT,3.705800044,4.49E-09
LOC105376204,2.069884554,4.50E-09
CBX3,-0.595455444,4.53E-09
COL8A2,-4.818620516,4.56E-09
WASHC4,-0.840683897,4.59E-09
LOC112268418,5.158793727,4.59E-09
ZNF354C,-3.108997035,4.61E-09
TTL,0.678735178,4.62E-09
LOC102724001,-7.818475174,4.63E-09
LOC102724711,-3.854351443,4.71E-09
CPNE3,-1.4189956,4.73E-09
CCDC28A,-1.532686128,4.74E-09
VSIG1,-5.058306178,4.75E-09
LINC01597,2.641116867,4.76E-09
FUT6,5.863966826,4.76E-09
ETF1,-1.227210083,4.78E-09
MIR124-2,5.060269409,4.78E-09
TBCK,1.502674962,4.82E-09
ZSCAN29,1.26920079,4.84E-09
ZNF695,-1.849151601,4.87E-09
ZDHHC22,-1.83830749,4.87E-09
SPN,-4.020748759,4.88E-09
NT5C2,1.473295021,4.88E-09
SOX5,2.650353066,4.90E-09
ZCCHC4,-1.099097966,4.91E-09
VWA2,-2.834329922,4.93E-09
MAN1B1,0.828749047,4.95E-09
H2AX,-2.367785581,4.96E-09
DLG3,0.837187643,4.97E-09
BRK1,0.914175268,4.97E-09
TRAF3,1.17861178,5.05E-09
LINC00963,3.22301055,5.20E-09
BARX1,-4.024439336,5.21E-09
SYN3,2.340139484,5.21E-09
FOXN2,-0.996235093,5.23E-09
FAM220A,0.830211699,5.27E-09
ATAD3C,-4.15963643,5.30E-09
CEP95,-1.166253508,5.30E-09
RYR3,2.775251942,5.32E-09
RPL17,-2.23043608,5.33E-09
ARMH4,1.388795806,5.34E-09
BRPF3,1.442888635,5.34E-09
SLC26A10,4.91530925,5.34E-09
PDE4DIPP6,2.181639915,5.35E-09
SLC38A6,-2.176331177,5.40E-09
NOP16,-1.787777304,5.42E-09
DACT3-AS1,4.52839711,5.42E-09
ATXN7L1,-1.215573553,5.43E-09
FAXDC2,-3.977151117,5.46E-09
TANC1,-2.471518055,5.46E-09
PEMT,-1.071425076,5.51E-09
COASY,-0.722121506,5.52E-09
LIPT1,-1.412242392,5.53E-09
LOC107985897,-4.649018536,5.56E-09
CEP97,1.081514617,5.57E-09
ITGA11,2.627025547,5.62E-09
SSH1,1.144422623,5.68E-09
PCDHB11,1.883841141,5.77E-09
AVEN,-1.200845987,5.80E-09
ZMYND10,3.735027053,5.80E-09
PPIC,-2.615458178,5.85E-09
AMBRA1,1.045764927,5.86E-09
ARHGAP39,1.936331148,5.94E-09
LOC105370802,3.82507691,5.94E-09
ERCC8,-0.8101594,5.96E-09
VAX1,4.911532659,5.96E-09
RPL23AP7,1.138230426,5.97E-09
LINC02615,-4.369361277,6.00E-09
KPNA3,-0.756371892,6.01E-09
PWAR6,-2.310981181,6.03E-09
KLK7,-7.559940986,6.09E-09
SENP5,1.312276298,6.11E-09
LOC105371277,5.094833927,6.11E-09
LRRC3,1.607586965,6.13E-09
PPP1R12C,-1.948701931,6.16E-09
MYL6B,1.392358731,6.18E-09
AFTPH-DT,4.534090458,6.20E-09
RPL13A,-1.414592274,6.22E-09
SUGCT,-2.193549962,6.23E-09
TBC1D10C,3.65555758,6.24E-09
NUMA1,0.729332727,6.33E-09
SPATA46,3.254945389,6.34E-09
POMC,-4.698283847,6.36E-09
B3GNT9,-4.273212527,6.36E-09
PPCDC,-1.328857462,6.36E-09
THAP3,0.891650134,6.41E-09
GABPA,-1.06232955,6.57E-09
COL4A4,-3.843222308,6.60E-09
LOC105378726,-3.74522195,6.64E-09
TTC39B,-1.941563586,6.64E-09
DPYS,-5.366483126,6.69E-09
PRRX2,-7.042757208,6.77E-09
APCDD1L,-6.440958458,6.87E-09
CLK4,0.962876146,6.90E-09
RASGRP4,-4.067387271,6.93E-09
NEK10,2.414653769,6.94E-09
ZBED9,2.674994703,6.97E-09
C4orf47,-3.049066145,6.99E-09
AP4S1,1.157938917,7.06E-09
SNORA73B,-3.346171044,7.17E-09
ACAA1,1.361892493,7.26E-09
CNP,1.003438454,7.29E-09
ACOX1,0.945168452,7.34E-09
LRRC10B,3.07621129,7.36E-09
KRBA2,1.60705227,7.52E-09
LOC283683_1,5.406363273,7.63E-09
GADD45B,-2.266052247,7.65E-09
FRAT2,-1.723104836,7.65E-09
KSR2,2.066785703,7.73E-09
SNORA8,-1.970060445,7.76E-09
TTC21A,2.490627152,7.78E-09
LOC389705,3.621297772,7.84E-09
GPRIN2,1.693499786,7.88E-09
PLAGL1,1.998909883,7.95E-09
NDEL1,0.772795393,8.00E-09
WNT2B,1.601048792,8.00E-09
DUSP13,-4.128240661,8.06E-09
SIK3,1.204742883,8.11E-09
MFNG,-4.40292464,8.12E-09
N6AMT1,0.747395167,8.13E-09
HERC1,1.698905699,8.15E-09
LOC730098,1.830865582,8.20E-09
EED,-1.049976869,8.21E-09
PNMA6F,3.130514441,8.26E-09
FAM76B,-0.834848109,8.29E-09
CENPV,-1.041744894,8.33E-09
H3C8,-5.678940025,8.37E-09
PARP3,1.492672004,8.40E-09
KIAA1109,1.533117062,8.46E-09
ARHGEF7-AS2,5.143242158,8.51E-09
WDR26,0.777994515,8.56E-09
BCL2L2,0.821489908,8.56E-09
FAM66A,4.63331113,8.60E-09
TMEM164,0.786993476,8.61E-09
ACOT4,-2.933265616,8.62E-09
SFXN5,-1.450537168,8.63E-09
ARL5B,-1.080267741,8.64E-09
UBE2G2,-0.493347738,8.66E-09
GJC2,2.365273526,8.71E-09
JUND,1.24920716,8.73E-09
TMEM53,0.939599197,8.74E-09
CYB5D1,-0.805910378,8.77E-09
KIAA0040,-7.813367257,8.85E-09
AGO2,-1.509835726,8.87E-09
SUFU,1.218134704,8.87E-09
MOCS1,-0.943546807,8.88E-09
SCAF4,-1.096491518,8.89E-09
SNORD81,-3.22991886,8.91E-09
HMCN1,-1.946120059,8.91E-09
KANK3,-3.481095916,9.07E-09
DMRT2,3.544591934,9.07E-09
TM9SF3,-0.771198888,9.15E-09
PTPRQ,4.534988852,9.19E-09
B4GALT1,-1.340674161,9.25E-09
LOC105374869,4.312794215,9.29E-09
GTF2IRD1,0.515483802,9.32E-09
GNB1,1.671342634,9.33E-09
KIF1C,-2.166277799,9.46E-09
STOML2,-1.406723564,9.50E-09
HCG11,1.153453311,9.51E-09
WDR1,-1.04464163,9.53E-09
METRN,2.66428872,9.67E-09
MAP2K3,-1.247176487,9.68E-09
LOC105374846,5.194102959,9.74E-09
KNSTRN,-0.514899017,9.75E-09
LOC107986945,5.707593936,9.76E-09
LOC107986432,-4.012703711,9.91E-09
MLLT10,-1.145709211,1.00E-08
ARHGAP28,-1.311620365,1.01E-08
UBR5,-1.299018128,1.01E-08
CCT7,-0.835959898,1.01E-08
LOC107986022,3.313745054,1.01E-08
TARBP2,-1.441750028,1.05E-08
GPAT4,0.84382194,1.05E-08
NID2,-2.428127173,1.06E-08
GMDS,-1.327350093,1.06E-08
NCOA7,1.346040651,1.06E-08
NIPA1,3.6509696,1.07E-08
QSOX2,-0.749196154,1.09E-08
MRPL20-DT,1.326658898,1.10E-08
FLAD1,-0.937124353,1.11E-08
TP53BP1,1.018382245,1.11E-08
LOC107984913,3.740490153,1.11E-08
DAAM2,-3.276657845,1.12E-08
LOC100996756,3.050506293,1.12E-08
SMIM14,0.659628025,1.13E-08
PFKFB3,1.86908494,1.13E-08
ZNF648,-4.372453759,1.14E-08
MPST,-1.615405694,1.14E-08
DNAH14,-1.3133236,1.14E-08
ZNF658,1.494504428,1.14E-08
NR1I3,2.261122793,1.14E-08
SIT1,-4.018815665,1.15E-08
HTR1A,-3.626489362,1.15E-08
FGFRL1,-2.682204713,1.15E-08
ATP6V0C,1.824657343,1.15E-08
LINC01547,2.054821255,1.15E-08
LOC147004,-7.030753502,1.17E-08
LINC02798,4.291586282,1.17E-08
MEIS1,4.313601067,1.18E-08
PRDM1,-4.60325645,1.20E-08
PAXIP1-DT,1.073905631,1.20E-08
NUMBL,2.243079165,1.20E-08
ZNF333,1.525642104,1.23E-08
EPS15L1,0.501819271,1.25E-08
TRPV4,-4.161751625,1.26E-08
TRPS1,-1.815360384,1.26E-08
SPPL2A,-0.994651195,1.28E-08
SMC5,-0.917902186,1.28E-08
EID1,0.73867881,1.28E-08
ZNF557,0.921457492,1.28E-08
GNB2,1.272574854,1.28E-08
KDM1B,1.550008894,1.28E-08
TBL1XR1,-1.174941768,1.29E-08
BCL7C,1.35993541,1.29E-08
PLB1,2.708592412,1.29E-08
GOLGA3,1.017750401,1.30E-08
LINC01122,1.899577337,1.30E-08
FAM90A1,3.322363423,1.30E-08
LOC107985658,-6.102411193,1.31E-08
PUS10,0.962748591,1.34E-08
PYGM,-3.620836758,1.35E-08
TARS2,-0.573812201,1.35E-08
ZNF284,1.274432823,1.35E-08
LOC112267900,2.852667608,1.35E-08
LOC107986699,-7.587675015,1.36E-08
CHRNA9,-6.889645676,1.36E-08
IGSF21,-1.631330311,1.36E-08
ZNF767P,1.427028081,1.36E-08
ZNF204P,1.222067987,1.38E-08
PPDPF,1.646905319,1.40E-08
LOC101929076,5.336511297,1.41E-08
GIPC2,-3.382085908,1.42E-08
TSEN54,-1.062027532,1.44E-08
CD55,-1.8816453,1.45E-08
ZNF75A,0.718684422,1.45E-08
MUC4_5,-5.355155071,1.46E-08
LOC105369617,-3.451253141,1.46E-08
TPR,-1.299863781,1.46E-08
VIRMA,-0.736400375,1.46E-08
DIS3,-0.462243406,1.46E-08
DNAJC9-AS1,1.216320893,1.46E-08
LOC105369551,-4.47749603,1.49E-08
TLL2,-1.785479938,1.49E-08
ZNF678,-1.386933357,1.50E-08
ANGPT1,-5.798136762,1.51E-08
TMEM221,-2.748373683,1.53E-08
ALS2CL,-1.722192915,1.53E-08
ZNF792,1.012808286,1.53E-08
EIF6,-1.289629002,1.54E-08
ZNF490,1.41648888,1.55E-08
CFC1,5.420324242,1.56E-08
LOC105374152,-4.442287386,1.57E-08
THBS1,-3.188771316,1.57E-08
NTRK1,4.323778264,1.57E-08
SLC5A5,-5.383867175,1.58E-08
RPL32P3,1.21001032,1.58E-08
PCDHA2,2.189365395,1.58E-08
TULP3,-1.147446301,1.59E-08
GXYLT2,-2.270496861,1.60E-08
KCNE3,-4.132331535,1.61E-08
ARHGAP27P1,2.76763054,1.61E-08
LOC101927668,-6.458241437,1.64E-08
ANKRD23,1.081304626,1.66E-08
CCDC169,-1.883254142,1.69E-08
NELFCD,-0.557923866,1.69E-08
TTI1,-0.800832754,1.70E-08
POLR3B,-0.690685868,1.70E-08
ATG4B,0.552775958,1.70E-08
LOC101927825,-4.97997499,1.73E-08
CTBS,-2.228503809,1.74E-08
EXOC1,0.786282689,1.76E-08
PGAP6,-1.087854723,1.79E-08
CDC42BPB,0.850332086,1.79E-08
LOC105372632,2.330654649,1.79E-08
LINC01201,4.621752963,1.79E-08
SERPINB1,-1.702042994,1.80E-08
AGPAT1,1.36062086,1.80E-08
TJAP1,-1.212622877,1.81E-08
LOC101929802,5.011773703,1.81E-08
LOC107984261,-6.439908516,1.82E-08
CD177,-6.46768599,1.83E-08
IRF2,-1.495403442,1.83E-08
TNFRSF10B,-0.442849846,1.84E-08
LOC100129434,3.38701107,1.84E-08
PTRH2,-1.271037012,1.85E-08
SEC22A,0.857078454,1.85E-08
AGFG2,1.109478416,1.85E-08
SH3PXD2A,1.913685107,1.85E-08
LOC107984317,3.024389354,1.85E-08
TDRD12,-2.790069809,1.86E-08
PTGS1,-5.238160726,1.87E-08
ATF3,1.221147508,1.87E-08
SNORD116-22,-6.161563427,1.91E-08
LOC107987245,-2.7008036,1.91E-08
PIP4P1,1.496001451,1.91E-08
SMIM32,3.885740459,1.91E-08
SYCE1L,2.538261064,1.92E-08
RAB6C-AS1,5.22740866,1.94E-08
GPR12,3.731912543,1.95E-08
PDCD6,-0.924568021,1.98E-08
SORD,-1.614678613,1.99E-08
RAC1,-0.618950338,1.99E-08
CPAMD8,-2.234011331,2.01E-08
EXOSC2,-0.899227675,2.01E-08
NHSL1,-0.673689074,2.02E-08
SNORA9,-3.266752722,2.05E-08
TRMO,0.957507092,2.05E-08
TSC2,0.916998625,2.06E-08
MTX2,1.116046426,2.07E-08
ZNRD2-DT,2.386846583,2.08E-08
MUC12,-4.148135831,2.11E-08
RD3,-2.939451172,2.11E-08
WWC3,-1.152987866,2.11E-08
RGP1,1.338402692,2.11E-08
DPY19L2,1.662075718,2.12E-08
ZNNT1,2.250606473,2.12E-08
ACBD5,0.905322465,2.13E-08
SEC14L1,1.533413826,2.15E-08
RIN1,-2.467587763,2.16E-08
SAMD8,1.197859679,2.16E-08
ELF3,-3.785096656,2.17E-08
LOC105371472,4.587639274,2.22E-08
PSMA5,-1.094162776,2.23E-08
MITD1,-0.990177767,2.23E-08
ALG9,0.947519138,2.23E-08
MIR137HG,5.064801625,2.23E-08
AFMID,-1.54416028,2.24E-08
NSMCE4A,-0.989136069,2.24E-08
NGDN,-0.983021198,2.24E-08
PRKG2,1.585171946,2.24E-08
LOC107985399,2.154792313,2.24E-08
TNFRSF19,2.181112175,2.24E-08
PIK3R5-DT,-7.41454081,2.28E-08
AVPI1,-1.849679372,2.29E-08
FAM167B,-3.012520488,2.31E-08
RASD2,-1.883867233,2.31E-08
HILPDA,-0.75867926,2.32E-08
MTSS2,2.137815376,2.34E-08
HIBCH,-1.374361657,2.37E-08
NGF-AS1,4.899168327,2.38E-08
ECM2,-6.531339707,2.39E-08
TRAC,-4.245190541,2.39E-08
ACTL8,-7.272741032,2.40E-08
SNORA18,-3.774478688,2.41E-08
FST,-2.326514579,2.42E-08
EXT2,0.544736153,2.42E-08
TMEM86B,1.420066998,2.42E-08
LSM5,-1.072052471,2.43E-08
PDSS2,-0.906770906,2.43E-08
LOC105378567,3.903852466,2.45E-08
MIR217HG,5.416700916,2.45E-08
UPF3B,-0.85140236,2.46E-08
CNPY4,0.864241706,2.49E-08
STAG3,1.760568475,2.49E-08
GPR50-AS1,5.570947882,2.50E-08
LOC105373424,-4.710797394,2.51E-08
G6PC3,-1.062278642,2.54E-08
DNAJB6,-0.675414115,2.57E-08
MRPS31,-1.021941546,2.58E-08
NR5A2,-4.394846538,2.59E-08
BMP2,-1.431767103,2.60E-08
RNA45SN3,-6.47464102,2.62E-08
ADAM22,1.034545559,2.62E-08
LOC105372480,1.862117792,2.62E-08
WDR88,2.293263601,2.68E-08
VPS36,0.827395613,2.69E-08
RASA4DP,2.418264053,2.69E-08
ALDH1A1,-7.438207478,2.71E-08
TMEM67,-1.268094161,2.73E-08
MRPS2,-1.032564711,2.80E-08
RAB15,1.649542373,2.81E-08
REXO5,-1.54975099,2.85E-08
GLIS3,3.747486471,2.86E-08
POLR2D,-0.67508152,2.87E-08
PEX19,-0.485367509,2.89E-08
ZNF516,1.460092288,2.90E-08
ITPRID1,-6.285128493,2.94E-08
C19orf85,-3.908786859,2.95E-08
MTCL1,-0.580251581,2.96E-08
NUP62,-0.823533448,2.97E-08
TSTD2,0.829228658,2.97E-08
CCNP,1.340622111,2.97E-08
F7,2.611522555,2.97E-08
NXF1,0.920705214,2.98E-08
LINC02562,-4.15561271,2.99E-08
NDUFA5,1.206153791,3.00E-08
CCDC152,-8.241664047,3.02E-08
MYRF,-1.538701883,3.02E-08
OTOG,-3.460566459,3.03E-08
LOC107984243,-2.292925349,3.03E-08
CBS,-2.857995818,3.08E-08
TLR9,3.5532103,3.08E-08
TRIL,-1.728042477,3.12E-08
LINC00621,2.066448621,3.13E-08
AFF1-AS1,-4.235281241,3.14E-08
TOE1,-1.469078214,3.15E-08
AKIRIN1,-0.809225845,3.15E-08
XPC,-0.569728442,3.16E-08
ZNF518A,-1.433192579,3.18E-08
TEKT2,2.965437226,3.20E-08
LOC105374981,-7.322003836,3.22E-08
KCNK17,-6.332477226,3.24E-08
CXXC4,1.877937346,3.24E-08
SLC4A2,-1.617399726,3.27E-08
MARVELD2,-4.444986983,3.29E-08
MT2A,-3.568071603,3.31E-08
PACRG,2.656144597,3.31E-08
